Genes,Description,Enrichment,pValue
RGPD8,RANBP2-like and GRIP domain-containing protein 8 OS=Homo sapiens GN=RGPD8 PE=1 SV=2,1.267126688,0.419912364
GSK3A,Glycogen synthase kinase-3 alpha OS=Homo sapiens GN=GSK3A PE=1 SV=2,1.280445394,0.415491024
SYDM,"Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens GN=DARS2 PE=1 SV=1",1.4202118,0.37886948
KIF22,Kinesin-like protein KIF22 OS=Homo sapiens GN=KIF22 PE=1 SV=5,1.490574732,0.36503201
SNX18,Sorting nexin-18 OS=Homo sapiens GN=SNX18 PE=1 SV=2,1.58606427,0.351739533
Z3H7A,Zinc finger CCCH domain-containing protein 7A OS=Homo sapiens GN=ZC3H7A PE=1 SV=1,2.958749863,0.216402063
LARP4,La-related protein 4 OS=Homo sapiens GN=LARP4 PE=1 SV=3,2.551501795,0.444695752
CLH1,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,1.956588935,0.515530738
2A5G,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Homo sapiens GN=PPP2R5C PE=1 SV=3,1.750765735,0.545464762
PI3R4,Phosphoinositide 3-kinase regulatory subunit 4 OS=Homo sapiens GN=PIK3R4 PE=1 SV=3,1.278269005,0.784485447
COX2,Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1,1.222402816,0.81824371
GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=GCDH PE=1 SV=1",2.146715117,0.437827702
GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens GN=GFPT1 PE=1 SV=3,1.276192336,0.786026849
ACTZ,Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1,2.032327525,0.482479397
SNX4,Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1,1.144223594,0.877605584
UBA1,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3,0.715700946,0.275633691
TIM23,Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens GN=TIMM23 PE=1 SV=1,1.532887257,0.977134972
MCM2,DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4,2.140902291,0.650895689
IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens GN=IDH3B PE=1 SV=2",2.450691111,0.557192805
DDX31,Probable ATP-dependent RNA helicase DDX31 OS=Homo sapiens GN=DDX31 PE=1 SV=2,0.765252628,0.322320382
EMC1,ER membrane protein complex subunit 1 OS=Homo sapiens GN=EMC1 PE=1 SV=1,0.853607959,0.450189828
LYPA2,Acyl-protein thioesterase 2 OS=Homo sapiens GN=LYPLA2 PE=1 SV=1,1.367296385,0.899757718
TCOF,Treacle protein OS=Homo sapiens GN=TCOF1 PE=1 SV=3,0.093800987,1.27E-05
NUP50,Nuclear pore complex protein Nup50 OS=Homo sapiens GN=NUP50 PE=1 SV=2,0.064672181,9.85E-09
GTF2I,General transcription factor II-I OS=Homo sapiens GN=GTF2I PE=1 SV=2,0.156973089,0.000118035
NPA1P,Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens GN=URB1 PE=1 SV=4,0.083322604,9.71E-05
DDX46,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens GN=DDX46 PE=1 SV=2,0.156879275,0.003424908
TFP11,Tuftelin-interacting protein 11 OS=Homo sapiens GN=TFIP11 PE=1 SV=1,0.149803092,0.000102822
SRSF6,Serine/arginine-rich splicing factor 6 OS=Homo sapiens GN=SRSF6 PE=1 SV=2,0.58660821,0.039304377
SPDLY,Protein Spindly OS=Homo sapiens GN=SPDL1 PE=1 SV=2,0.205133671,0.00010384
STIM1,Stromal interaction molecule 1 OS=Homo sapiens GN=STIM1 PE=1 SV=3,0.22134159,0.000154363
NUDC,Nuclear migration protein nudC OS=Homo sapiens GN=NUDC PE=1 SV=1,0.422231976,0.003811436
WASC4,WASH complex subunit 4 OS=Homo sapiens GN=WASHC4 PE=1 SV=2,0.637291057,0.02395335
IST1,IST1 homolog OS=Homo sapiens GN=IST1 PE=1 SV=1,1.340844582,0.468896147
PPHLN,Periphilin-1 OS=Homo sapiens GN=PPHLN1 PE=1 SV=2,0.670743342,0.025303671
TF65,Transcription factor p65 OS=Homo sapiens GN=RELA PE=1 SV=2,0.464792826,0.003051065
HNRPF,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3,0.335587388,0.001404897
HAT1,Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1,0.33471083,0.001410876
STK4,Serine/threonine-protein kinase 4 OS=Homo sapiens GN=STK4 PE=1 SV=2,1.45491481,0.547852477
PHOCN,MOB-like protein phocein OS=Homo sapiens GN=MOB4 PE=1 SV=1,0.926722676,0.112566927
PLAK,Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3,1.5278406,0.630196238
PRS6A,26S proteasome regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3,0.971212598,0.19867492
AP3B1,AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3,0.870836798,0.149647586
H1X,Histone H1x OS=Homo sapiens GN=H1FX PE=1 SV=1,0.874724084,0.102963127
ARP2,Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1,0.857339994,0.098045276
PP1A,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1,0.63577846,0.028483596
SYAP1,Synapse-associated protein 1 OS=Homo sapiens GN=SYAP1 PE=1 SV=1,0.903357795,0.08734465
H32,Histone H3.2 OS=Homo sapiens GN=HIST2H3A PE=1 SV=3,0.457852218,0.63957573
RS20,40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1,1.922708465,0.685133148
RUXE,Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1,0.537498086,0.008653749
SUMO1,Small ubiquitin-related modifier 1 OS=Homo sapiens GN=SUMO1 PE=1 SV=1,0.853556858,0.232455261
H2B1B,Histone H2B type 1-B OS=Homo sapiens GN=HIST1H2BB PE=1 SV=2,1.022115261,0.037875092
H2B1J,Histone H2B type 1-J OS=Homo sapiens GN=HIST1H2BJ PE=1 SV=3,1.022115261,0.037875092
H2B2E,Histone H2B type 2-E OS=Homo sapiens GN=HIST2H2BE PE=1 SV=3,1.022115261,0.037875092
CFA20,Cilia- and flagella-associated protein 20 OS=Homo sapiens GN=CFAP20 PE=1 SV=1,1.093146708,0.62074719
RT17,"28S ribosomal protein S17, mitochondrial OS=Homo sapiens GN=MRPS17 PE=1 SV=1",1.272740578,0.871723652
JUPI1,Jupiter microtubule associated homolog 1 OS=Homo sapiens GN=JPT1 PE=1 SV=3,0.852107295,0.020574059
CENPV,Centromere protein V OS=Homo sapiens GN=CENPV PE=1 SV=1,1.535823993,0.819561794
PTBP3,Polypyrimidine tract-binding protein 3 OS=Homo sapiens GN=PTBP3 PE=1 SV=2,3.815556591,0.502155659
MYL6B,Myosin light chain 6B OS=Homo sapiens GN=MYL6B PE=1 SV=1,0.107619323,0.000108477
NUBP2,Cytosolic Fe-S cluster assembly factor NUBP2 OS=Homo sapiens GN=NUBP2 PE=1 SV=1,1.095265185,0.260814851
PDIP3,Polymerase delta-interacting protein 3 OS=Homo sapiens GN=POLDIP3 PE=1 SV=2,0.901400571,0.02211227
EXOS7,Exosome complex component RRP42 OS=Homo sapiens GN=EXOSC7 PE=1 SV=3,0.480168921,0.08089254
DC1L2,Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens GN=DYNC1LI2 PE=1 SV=1,1.53332839,0.174484083
RFC5,Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1,1.271834757,0.872089367
CNO10,CCR4-NOT transcription complex subunit 10 OS=Homo sapiens GN=CNOT10 PE=1 SV=1,2.035817163,0.988398429
ERR2,Steroid hormone receptor ERR2 OS=Homo sapiens GN=ESRRB PE=1 SV=3,1.278462417,0.689920738
SRP72,Signal recognition particle subunit SRP72 OS=Homo sapiens GN=SRP72 PE=1 SV=3,1.43496612,0.414583112
NOL10,Nucleolar protein 10 OS=Homo sapiens GN=NOL10 PE=1 SV=1,0.49454886,0.000736551
ACSL3,Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3,1.023952118,0.07190342
TOE1,Target of EGR1 protein 1 OS=Homo sapiens GN=TOE1 PE=1 SV=1,1.285272516,0.866702004
SMRD1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Homo sapiens GN=SMARCD1 PE=1 SV=2,0.309982466,0.000359765
MAVS,Mitochondrial antiviral-signaling protein OS=Homo sapiens GN=MAVS PE=1 SV=2,0.284090716,0.000113575
SLMAP,Sarcolemmal membrane-associated protein OS=Homo sapiens GN=SLMAP PE=1 SV=1,0.403672739,0.000303183
EIF2D,Eukaryotic translation initiation factor 2D OS=Homo sapiens GN=EIF2D PE=1 SV=3,0.849666668,0.181349255
ILVBL,Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2,1.272710023,0.871735982
ABCF3,ATP-binding cassette sub-family F member 3 OS=Homo sapiens GN=ABCF3 PE=1 SV=2,1.278949761,0.690176855
TERA,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,0.182490418,1.51E-05
NEB2,Neurabin-2 OS=Homo sapiens GN=PPP1R9B PE=1 SV=2,0.93059869,0.037783426
UBP54,Inactive ubiquitin carboxyl-terminal hydrolase 54 OS=Homo sapiens GN=USP54 PE=1 SV=4,2.570421187,0.589757761
COPB2,Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2,0.680883186,0.060349251
PRP4B,Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens GN=PRPF4B PE=1 SV=3,0.2763846,0.000119078
SYIM,"Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens GN=IARS2 PE=1 SV=2",1.02652658,0.560348439
MDC1,Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens GN=MDC1 PE=1 SV=3,0.088504102,1.36E-07
MKL2,MKL/myocardin-like protein 2 OS=Homo sapiens GN=MKL2 PE=1 SV=3,1.271838916,0.872087687
DEN4C,DENN domain-containing protein 4C OS=Homo sapiens GN=DENND4C PE=1 SV=3,0.638610554,0.005547138
YETS2,YEATS domain-containing protein 2 OS=Homo sapiens GN=YEATS2 PE=1 SV=2,0.17332219,3.07E-05
ZMYM4,Zinc finger MYM-type protein 4 OS=Homo sapiens GN=ZMYM4 PE=1 SV=1,0.06911553,1.93E-05
KDIS,Kinase D-interacting substrate of 220 kDa OS=Homo sapiens GN=KIDINS220 PE=1 SV=3,0.227181731,2.18E-05
RHG21,Rho GTPase-activating protein 21 OS=Homo sapiens GN=ARHGAP21 PE=1 SV=1,0.512250184,0.034220158
SETD2,Histone-lysine N-methyltransferase SETD2 OS=Homo sapiens GN=SETD2 PE=1 SV=3,0.086639974,4.51E-06
HS105,Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1,0.42133734,0.613017556
ELP1,Elongator complex protein 1 OS=Homo sapiens GN=ELP1 PE=1 SV=3,0.854040811,0.915243599
ARL2,ADP-ribosylation factor-like protein 2 OS=Homo sapiens GN=ARL2 PE=1 SV=4,1.017635929,0.990538354
K1841,Uncharacterized protein KIAA1841 OS=Homo sapiens GN=KIAA1841 PE=2 SV=2,1.058435097,0.969290953
LTN1,E3 ubiquitin-protein ligase listerin OS=Homo sapiens GN=LTN1 PE=1 SV=6,1.271134806,0.87237222
RFOX2,RNA binding protein fox-1 homolog 2 OS=Homo sapiens GN=RBFOX2 PE=1 SV=3,1.272975164,0.871629001
CEP44,Centrosomal protein of 44 kDa OS=Homo sapiens GN=CEP44 PE=1 SV=2,1.28100818,0.86840283
MLXIP,MLX-interacting protein OS=Homo sapiens GN=MLXIP PE=1 SV=2,1.281082301,0.868373197
CAP1,Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5,1.281149013,0.868346529
SPTC1,Serine palmitoyltransferase 1 OS=Homo sapiens GN=SPTLC1 PE=1 SV=1,1.284459581,0.867025614
CNO6L,CCR4-NOT transcription complex subunit 6-like OS=Homo sapiens GN=CNOT6L PE=1 SV=2,1.284492428,0.867012533
ELP4,Elongator complex protein 4 OS=Homo sapiens GN=ELP4 PE=1 SV=2,1.575290189,0.768262854
NCLN,Nicalin OS=Homo sapiens GN=NCLN PE=1 SV=2,1.576395271,0.767945657
WDR61,WD repeat-containing protein 61 OS=Homo sapiens GN=WDR61 PE=1 SV=1,1.576421213,0.767938216
LMF2,Lipase maturation factor 2 OS=Homo sapiens GN=LMF2 PE=1 SV=2,1.587617572,0.764746381
RL36,60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3,1.591835111,0.76355428
ARF6,ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2,1.926752437,0.684333914
OSB11,Oxysterol-binding protein-related protein 11 OS=Homo sapiens GN=OSBPL11 PE=1 SV=2,1.92676782,0.68433088
PDCD5,Programmed cell death protein 5 OS=Homo sapiens GN=PDCD5 PE=1 SV=3,2.362826673,0.614382484
AP3S1,AP-3 complex subunit sigma-1 OS=Homo sapiens GN=AP3S1 PE=1 SV=1,2.364647087,0.614146454
MARE1,Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3,1.0505714,0.565364303
LDHB,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2,1.695478751,0.88685104
METK2,S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1,2.543157739,0.852225794
LPP,Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1,0.723913751,0.437683162
PIMT,Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=1 SV=4,0.510801334,0.297676399
PFD5,Prefoldin subunit 5 OS=Homo sapiens GN=PFDN5 PE=1 SV=2,0.900615786,0.523368668
BORG1,Cdc42 effector protein 2 OS=Homo sapiens GN=CDC42EP2 PE=1 SV=1,1.017204437,0.555165673
WAC2C,WASH complex subunit 2C OS=Homo sapiens GN=WASHC2C PE=1 SV=3,1.274674847,0.687921463
HAUS4,HAUS augmin-like complex subunit 4 OS=Homo sapiens GN=HAUS4 PE=1 SV=1,3.151737991,0.74320643
ZC3HF,Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens GN=ZC3H15 PE=1 SV=1,1.010770558,0.551641639
LRCH2,Leucine-rich repeat and calponin homology domain-containing protein 2 OS=Homo sapiens GN=LRCH2 PE=2 SV=2,1.916613195,0.971481606
IKBE,NF-kappa-B inhibitor epsilon OS=Homo sapiens GN=NFKBIE PE=1 SV=3,1.053416928,0.588517918
EMC3,ER membrane protein complex subunit 3 OS=Homo sapiens GN=EMC3 PE=1 SV=3,1.014723516,0.554198405
ELP6,Elongator complex protein 6 OS=Homo sapiens GN=ELP6 PE=1 SV=1,1.895369724,0.963928952
RGPD3,RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens GN=RGPD3 PE=3 SV=2,1.282791657,0.692194957
RO60,60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens GN=TROVE2 PE=1 SV=2,1.532380983,0.818247622
AP3M1,AP-3 complex subunit mu-1 OS=Homo sapiens GN=AP3M1 PE=1 SV=1,1.273820537,0.392889248
PHF8,Histone lysine demethylase PHF8 OS=Homo sapiens GN=PHF8 PE=1 SV=3,0.851614793,0.182378583
PR38B,Pre-mRNA-splicing factor 38B OS=Homo sapiens GN=PRPF38B PE=1 SV=1,1.92011877,0.639848313
HEAT1,HEAT repeat-containing protein 1 OS=Homo sapiens GN=HEATR1 PE=1 SV=3,0.87955135,0.181099781
SRBD1,S1 RNA-binding domain-containing protein 1 OS=Homo sapiens GN=SRBD1 PE=1 SV=2,1.085298408,0.257704
ASCC2,Activating signal cointegrator 1 complex subunit 2 OS=Homo sapiens GN=ASCC2 PE=1 SV=3,1.043123754,0.298545547
GHC1,Mitochondrial glutamate carrier 1 OS=Homo sapiens GN=SLC25A22 PE=1 SV=1,1.4379282,0.415867807
GID8,Glucose-induced degradation protein 8 homolog OS=Homo sapiens GN=GID8 PE=1 SV=1,1.0970912,0.26187954
PFD3,Prefoldin subunit 3 OS=Homo sapiens GN=VBP1 PE=1 SV=3,2.377477352,0.818985081
ADT1,ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4,1.90665767,0.629700714
GRWD1,Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens GN=GRWD1 PE=1 SV=1,1.638441086,0.513714651
CYLD,Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens GN=CYLD PE=1 SV=1,0.950970013,0.204427666
APC5,Anaphase-promoting complex subunit 5 OS=Homo sapiens GN=ANAPC5 PE=1 SV=2,0.731862928,0.121237432
AAR2,Protein AAR2 homolog OS=Homo sapiens GN=AAR2 PE=1 SV=2,0.698255745,0.132096564
TRUA,tRNA pseudouridine synthase A OS=Homo sapiens GN=PUS1 PE=1 SV=3,0.959197648,0.203588723
NEDD1,Protein NEDD1 OS=Homo sapiens GN=NEDD1 PE=1 SV=1,0.95541816,0.202445473
BYST,Bystin OS=Homo sapiens GN=BYSL PE=1 SV=3,1.055332931,0.256108644
BORC5,BLOC-1-related complex subunit 5 OS=Homo sapiens GN=BORCS5 PE=1 SV=1,1.094640785,0.260549614
PEBP1,Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3,0.852587018,0.153361801
VIR,Protein virilizer homolog OS=Homo sapiens GN=VIRMA PE=1 SV=2,0.114519243,1.61E-06
SPF45,Splicing factor 45 OS=Homo sapiens GN=RBM17 PE=1 SV=1,0.117349807,0.000107448
SNUT1,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1,0.086004504,6.70E-05
SET1A,Histone-lysine N-methyltransferase SETD1A OS=Homo sapiens GN=SETD1A PE=1 SV=3,0.107585198,5.32E-06
SF3B2,Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=2,0.14099179,5.16E-07
CDC5L,Cell division cycle 5-like protein OS=Homo sapiens GN=CDC5L PE=1 SV=2,0.19498493,0.004891398
NOG2,Nucleolar GTP-binding protein 2 OS=Homo sapiens GN=GNL2 PE=1 SV=1,0.185725801,3.72E-06
ZCH18,Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens GN=ZC3H18 PE=1 SV=2,0.322106211,0.002383771
TOP1,DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2,0.220749821,9.87E-06
TRIPC,E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens GN=TRIP12 PE=1 SV=1,0.189322603,4.19E-05
SMRC1,SWI/SNF complex subunit SMARCC1 OS=Homo sapiens GN=SMARCC1 PE=1 SV=3,0.166463918,5.41E-06
RLA1,60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1,0.17704715,4.31E-06
MTA2,Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1,0.211401288,5.71E-05
MTA1,Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 PE=1 SV=2,0.157253092,5.57E-05
RRP5,Protein RRP5 homolog OS=Homo sapiens GN=PDCD11 PE=1 SV=3,0.34837986,0.0004354
CEBPZ,CCAAT/enhancer-binding protein zeta OS=Homo sapiens GN=CEBPZ PE=1 SV=3,0.118012445,1.88E-05
DDX55,ATP-dependent RNA helicase DDX55 OS=Homo sapiens GN=DDX55 PE=1 SV=3,0.22701633,0.000126377
VCIP1,Deubiquitinating protein VCIP135 OS=Homo sapiens GN=VCPIP1 PE=1 SV=2,0.490780942,0.002992738
CKAP4,Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2,2.532279893,0.60052012
PININ,Pinin OS=Homo sapiens GN=PNN PE=1 SV=4,0.375695048,0.001278743
ADDA,Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2,0.283843394,6.73E-05
PARD3,Partitioning defective 3 homolog OS=Homo sapiens GN=PARD3 PE=1 SV=2,0.475804933,0.000505133
F91A1,Protein FAM91A1 OS=Homo sapiens GN=FAM91A1 PE=1 SV=3,0.46886327,0.000675247
MPRIP,Myosin phosphatase Rho-interacting protein OS=Homo sapiens GN=MPRIP PE=1 SV=3,0.9298631,0.037871356
DPY30,Protein dpy-30 homolog OS=Homo sapiens GN=DPY30 PE=1 SV=1,0.200304218,1.86E-05
HDAC1,Histone deacetylase 1 OS=Homo sapiens GN=HDAC1 PE=1 SV=1,0.423255427,0.001267105
BRX1,Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens GN=BRIX1 PE=1 SV=2,0.895594769,0.015497767
RRP8,Ribosomal RNA-processing protein 8 OS=Homo sapiens GN=RRP8 PE=1 SV=2,0.226992155,9.27E-05
STIP1,Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1,0.274174835,0.000557707
SRPRA,Signal recognition particle receptor subunit alpha OS=Homo sapiens GN=SRPRA PE=1 SV=2,0.26715418,1.48E-05
CC85C,Coiled-coil domain-containing protein 85C OS=Homo sapiens GN=CCDC85C PE=1 SV=1,0.510406726,0.002400172
LRC59,Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1,0.862665567,0.019049151
TF3C5,General transcription factor 3C polypeptide 5 OS=Homo sapiens GN=GTF3C5 PE=1 SV=2,0.760409001,0.013188174
ANKL2,Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens GN=ANKLE2 PE=1 SV=4,0.327781011,0.001019238
PRP31,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens GN=PRPF31 PE=1 SV=2,0.677404787,0.007637885
RU17,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 PE=1 SV=2,1.179491079,0.076019566
RNPS1,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens GN=RNPS1 PE=1 SV=1,0.729298083,0.047833125
TEX10,Testis-expressed protein 10 OS=Homo sapiens GN=TEX10 PE=1 SV=2,0.506861715,0.005557378
CEP97,Centrosomal protein of 97 kDa OS=Homo sapiens GN=CEP97 PE=1 SV=1,1.523105409,0.170541514
NEK9,Serine/threonine-protein kinase Nek9 OS=Homo sapiens GN=NEK9 PE=1 SV=2,1.095628876,0.056394404
ORC3,Origin recognition complex subunit 3 OS=Homo sapiens GN=ORC3 PE=1 SV=1,0.703179862,0.00614836
EXOS1,Exosome complex component CSL4 OS=Homo sapiens GN=EXOSC1 PE=1 SV=1,0.680226188,0.019999082
AFTIN,Aftiphilin OS=Homo sapiens GN=AFTPH PE=1 SV=2,0.846305067,0.032885818
RPOM,"DNA-directed RNA polymerase, mitochondrial OS=Homo sapiens GN=POLRMT PE=1 SV=2",0.900944296,0.02861178
DPOD3,DNA polymerase delta subunit 3 OS=Homo sapiens GN=POLD3 PE=1 SV=2,0.350240463,0.002046519
OSBL8,Oxysterol-binding protein-related protein 8 OS=Homo sapiens GN=OSBPL8 PE=1 SV=3,0.85109391,0.022184215
CSN8,COP9 signalosome complex subunit 8 OS=Homo sapiens GN=COPS8 PE=1 SV=1,0.405942215,0.001884248
OCRL,Inositol polyphosphate 5-phosphatase OCRL-1 OS=Homo sapiens GN=OCRL PE=1 SV=3,1.948907665,0.338313733
COR1B,Coronin-1B OS=Homo sapiens GN=CORO1B PE=1 SV=1,0.724804672,0.01232638
ACTN4,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,1.946159832,0.365266788
COIL,Coilin OS=Homo sapiens GN=COIL PE=1 SV=1,0.534268322,0.000947598
KIF2A,Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A PE=1 SV=3,1.093860657,0.070248948
HS90A,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,0.507799697,0.003696705
SRS10,Serine/arginine-rich splicing factor 10 OS=Homo sapiens GN=SRSF10 PE=1 SV=1,1.277429786,0.100009448
DCP1B,mRNA-decapping enzyme 1B OS=Homo sapiens GN=DCP1B PE=1 SV=2,1.915760475,0.318385639
NSMA3,Sphingomyelin phosphodiesterase 4 OS=Homo sapiens GN=SMPD4 PE=1 SV=2,1.179845898,0.092121266
FKB15,FK506-binding protein 15 OS=Homo sapiens GN=FKBP15 PE=1 SV=2,0.567740223,0.00528759
SKA2,Spindle and kinetochore-associated protein 2 OS=Homo sapiens GN=SKA2 PE=1 SV=1,0.851944497,0.020523951
ABI2,Abl interactor 2 OS=Homo sapiens GN=ABI2 PE=1 SV=1,1.177847763,0.076438945
SIN1,Target of rapamycin complex 2 subunit MAPKAP1 OS=Homo sapiens GN=MAPKAP1 PE=1 SV=2,1.022920605,0.060842257
DERL1,Derlin-1 OS=Homo sapiens GN=DERL1 PE=1 SV=1,1.015379377,0.036705352
1433T,14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1,2.301583173,0.493618398
EIF3K,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=1 SV=1,1.022355919,0.06115077
APC4,Anaphase-promoting complex subunit 4 OS=Homo sapiens GN=ANAPC4 PE=1 SV=2,0.790869782,0.023639875
